state,range
0,000000000000
1,100000000000
2,010000000000
3,001000000000
4,000100000000
5,000010000000
6,000001000000
7,000000100000
8,000000010000
9,000000001000
10,000000000100
11,000000000010
12,000000000001
13,110000000000
14,101000000000
15,011000000000
16,100100000000
17,010100000000
18,001100000000
19,100010000000
20,010010000000
21,001010000000
22,000110000000
23,100001000000
24,010001000000
25,001001000000
26,000101000000
27,000011000000
28,100000100000
29,010000100000
30,001000100000
31,000100100000
32,000010100000
33,000001100000
34,100000010000
35,010000010000
36,001000010000
37,000100010000
38,000010010000
39,000001010000
40,000000110000
41,100000001000
42,010000001000
43,001000001000
44,000100001000
45,000010001000
46,000001001000
47,000000101000
48,000000011000
49,100000000100
50,010000000100
51,001000000100
52,000100000100
53,000010000100
54,000001000100
55,000000100100
56,000000010100
57,000000001100
58,100000000010
59,010000000010
60,001000000010
61,000100000010
62,000010000010
63,000001000010
64,000000100010
65,000000010010
66,000000001010
67,000000000110
68,100000000001
69,010000000001
70,001000000001
71,000100000001
72,000010000001
73,000001000001
74,000000100001
75,000000010001
76,000000001001
77,000000000101
78,000000000011
79,111000000000
80,110100000000
81,101100000000
82,011100000000
83,110010000000
84,101010000000
85,011010000000
86,100110000000
87,010110000000
88,001110000000
89,110001000000
90,101001000000
91,011001000000
92,100101000000
93,010101000000
94,001101000000
95,100011000000
96,010011000000
97,001011000000
98,000111000000
99,110000100000
100,101000100000
101,011000100000
102,100100100000
103,010100100000
104,001100100000
105,100010100000
106,010010100000
107,001010100000
108,000110100000
109,100001100000
110,010001100000
111,001001100000
112,000101100000
113,000011100000
114,110000010000
115,101000010000
116,011000010000
117,100100010000
118,010100010000
119,001100010000
120,100010010000
121,010010010000
122,001010010000
123,000110010000
124,100001010000
125,010001010000
126,001001010000
127,000101010000
128,000011010000
129,100000110000
130,010000110000
131,001000110000
132,000100110000
133,000010110000
134,000001110000
135,110000001000
136,101000001000
137,011000001000
138,100100001000
139,010100001000
140,001100001000
141,100010001000
142,010010001000
143,001010001000
144,000110001000
145,100001001000
146,010001001000
147,001001001000
148,000101001000
149,000011001000
150,100000101000
151,010000101000
152,001000101000
153,000100101000
154,000010101000
155,000001101000
156,100000011000
157,010000011000
158,001000011000
159,000100011000
160,000010011000
161,000001011000
162,000000111000
163,110000000100
164,101000000100
165,011000000100
166,100100000100
167,010100000100
168,001100000100
169,100010000100
170,010010000100
171,001010000100
172,000110000100
173,100001000100
174,010001000100
175,001001000100
176,000101000100
177,000011000100
178,100000100100
179,010000100100
180,001000100100
181,000100100100
182,000010100100
183,000001100100
184,100000010100
185,010000010100
186,001000010100
187,000100010100
188,000010010100
189,000001010100
190,000000110100
191,100000001100
192,010000001100
193,001000001100
194,000100001100
195,000010001100
196,000001001100
197,000000101100
198,000000011100
199,110000000010
200,101000000010
201,011000000010
202,100100000010
203,010100000010
204,001100000010
205,100010000010
206,010010000010
207,001010000010
208,000110000010
209,100001000010
210,010001000010
211,001001000010
212,000101000010
213,000011000010
214,100000100010
215,010000100010
216,001000100010
217,000100100010
218,000010100010
219,000001100010
220,100000010010
221,010000010010
222,001000010010
223,000100010010
224,000010010010
225,000001010010
226,000000110010
227,100000001010
228,010000001010
229,001000001010
230,000100001010
231,000010001010
232,000001001010
233,000000101010
234,000000011010
235,100000000110
236,010000000110
237,001000000110
238,000100000110
239,000010000110
240,000001000110
241,000000100110
242,000000010110
243,000000001110
244,110000000001
245,101000000001
246,011000000001
247,100100000001
248,010100000001
249,001100000001
250,100010000001
251,010010000001
252,001010000001
253,000110000001
254,100001000001
255,010001000001
256,001001000001
257,000101000001
258,000011000001
259,100000100001
260,010000100001
261,001000100001
262,000100100001
263,000010100001
