Species,area,aspect_ratio,tooth_density,trichome_q,trichome_categorical,stellate_hairs_stalked,type
acutifolium,5.530375000000001,1.872579801625,0.060924414125000007,4.97,1.0,0.0,SGE
alpinum,37.1336,1.6233445843000003,0.0,4.97,1.0,0.0,IGE
ayavacense,24.850142857142853,1.8626403507142855,0.17684305235714287,48.72714285714286,1.0,0.0,IGE
blandum,14.931620689655174,2.127044487413793,0.08839923703448276,4.97,1.0,0.0,SGE
caudatum,43.97116666666667,1.322136603722222,0.10261376538888889,4.97,1.0,0.0,IGE
ciliatum,16.223,1.4716697702222221,1.3595151313333333,4.97,1.0,0.0,D
costaricanum,24.34830769230769,2.262758727999999,0.09883455592307692,4.97,1.0,0.0,IGE
dentatum,27.971352941176473,1.3094211813902112,1.0016372735381742,107.06999999999995,2.0,0.0,D
discolor,20.7305,1.8340566485,0.36617867675,4466.339999999998,4.0,1.0,LPT
disjunctum,99.17018181818183,2.1215709467272728,0.27206717545454545,973.72,3.0,1.0,LPT
fuscum,35.86658333333333,2.0637932258333334,0.0160066705,4.97,1.0,0.0,IGE
hallii,19.8915,2.0845198746,0.21464217489999998,107.06999999999996,2.0,0.0,IGE
hartwegii,33.809136363636355,2.455362414,0.037211536727272725,4.97,1.0,0.0,IGE
hirsutum,53.6631,1.3110937808999998,0.787840954,540.395,2.0,0.0,D
jamesonii,36.0031,1.8042291361,0.3123266596,973.72,3.0,1.0,LPT
jucundum,76.91691304347825,1.486491421782609,0.601645958956522,973.7200000000003,3.0,1.0,LPT
lasiophyllum,49.79836363636364,1.8419486733636363,0.41641765054545454,973.72,3.0,1.0,LPT
lautum,8.184208333333336,1.8266217101666673,0.06850734258333332,4.97,1.0,0.0,SGE
loeseneri,4.4432,1.7789348192999999,0.5821509308999999,280.4,2.0,0.0,D
membranaceum,23.801000000000002,1.915174015875,0.403950841,43.25749999999999,1.0,0.0,D
microcarpum,64.79700000000001,1.1970231571363636,0.8781400728181817,4466.339999999997,4.0,1.0,LPT
microphyllum,12.085363636363638,2.1283268553636363,0.017169070545454548,4.97,1.0,0.0,SGE
new_name_1,16.064299999999996,2.1299364708,0.1339938772,66.22999999999999,2.0,0.0,SGE
new_name_2,10.655307692307693,2.8607546543846145,0.043918055692307695,4.97,1.0,0.0,SGE
new_sp_1,36.94041666666667,1.9002974413333338,0.22366078583333335,4466.339999999999,4.0,1.0,LPT
new_sp_2,34.288071428571435,2.1099567305,0.08459336628571426,107.06999999999995,2.0,0.0,IGE
obtusatum,6.6509,2.1008538772999996,0.0,4.97,1.0,0.0,SGE
pichinchense,35.85327272727273,1.9092522820909088,0.13334221963636364,973.7200000000001,3.0,1.0,LPT
reticulatum,41.75186956521738,1.8744466055217393,0.35698519143478263,4466.339999999997,4.0,1.0,LPT
seemenii,26.975954545454545,2.0648842250909096,0.1395610211818182,4.97,1.0,0.0,IGE
stellato-tomentosum,52.05193333333333,1.5897620646666666,0.38005839973333333,973.7199999999998,3.0,1.0,LPT
stenocalyx,24.100800000000003,1.7055893506,0.9799831899000001,96.85999999999997,2.0,0.0,D
subsessile,20.5399,1.9447273255000002,0.05180184,15.179999999999998,1.0,0.0,IGE
sulcatum,57.27610000000001,1.5830033614000003,0.3598322054,4466.339999999999,4.0,1.0,LPT
tiliaefolium,95.30573333333335,1.2032519006666667,0.65099652,973.7199999999998,3.0,1.0,LPT
tinoides_1,42.34561538461538,2.138606735153846,0.09681755376923076,4.97,1.0,0.0,IGE
tinoides_2,28.05414285714286,2.18424983,0.020714441142857143,4.97,1.0,0.0,IGE
toronis,41.90925000000001,2.11691283,0.059091277916666664,21.986666666666668,1.0,0.0,IGE
triphyllum,14.234153846153845,2.1230624514615384,0.03182550446153846,4.97,1.0,0.0,SGE
undulatum,52.931782608695656,2.333585562521739,0.25522759265217393,4466.339999999997,4.0,1.0,LPT
villosum,29.697904761904766,1.680443271047619,0.11048069666666666,427.4985714285714,2.0,0.0,IGE
