NodeLabel                 	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate
blandum                   	     1	     -	     -	               -	               -	               -	        0.875147	
discolor                  	     2	     -	     -	               -	               -	               -	        1.434767	
lautum                    	     3	     -	     -	               -	               -	               -	        0.748147	
jucundum                  	     4	     -	     -	               -	               -	               -	        0.670369	
disjunctum                	     5	     -	     -	               -	               -	               -	        1.285695	
stellato-tomentosum       	     6	     -	     -	               -	               -	               -	        1.006728	
villosum                  	     7	     -	     -	               -	               -	               -	        1.169936	
alpinum                   	     8	     -	     -	               -	               -	               -	        1.937411	
obtusatum                 	     9	     -	     -	               -	               -	               -	        1.200628	
subsessile                	    10	     -	     -	               -	               -	               -	        2.444063	
undulatum                 	    11	     -	     -	               -	               -	               -	        2.349629	
tinoides 1                	    12	     -	     -	               -	               -	               -	        1.331712	
triphyllum                	    13	     -	     -	               -	               -	               -	        2.551443	
lasiophyllum              	    14	     -	     -	               -	               -	               -	        1.379491	
tinoides 2                	    15	     -	     -	               -	               -	               -	        1.897793	
pichinchense              	    16	     -	     -	               -	               -	               -	        1.615600	
hallii                    	    17	     -	     -	               -	               -	               -	        2.021117	
jamesonii                 	    18	     -	     -	               -	               -	               -	        2.278175	
toronis                   	    19	     -	     -	               -	               -	               -	        1.924331	
dumatorum                 	    20	     -	     -	               -	               -	               -	        3.249187	
seemenii                  	    21	     -	     -	               -	               -	               -	        3.364919	
triphyllum new            	    22	     -	     -	               -	               -	               -	        2.364853	
ayavacense                	    23	     -	     -	               -	               -	               -	        3.387087	
reticulatum               	    24	     -	     -	               -	               -	               -	        2.032620	
costaricanum              	    25	     -	     -	               -	               -	               -	        1.186896	
hartwegii                 	    26	     -	     -	               -	               -	               -	        1.173538	
fuscum                    	    27	     -	     -	               -	               -	               -	        1.217097	
newsp.2                   	    28	     -	     -	               -	               -	               -	        0.888009	
membranaceum              	    29	     -	     -	               -	               -	               -	        1.218194	
newsp.1                   	    30	     -	     -	               -	               -	               -	        1.111900	
acutifolium               	    31	     -	     -	               -	               -	               -	        0.807623	
microphyllum              	    32	     -	     -	               -	               -	               -	        0.957447	
sulcatum                  	    33	     -	     -	               -	               -	               -	        0.845554	
microcarpum               	    34	     -	     -	               -	               -	               -	        0.784332	
ciliatum                  	    35	     -	     -	               -	               -	               -	        1.200111	
