Rawname,Nameinthepaper
disjunctum_EJE_615,disjunctum
obtusatum_PWS_3100,obtusatum
hartwegii_PWS_3186,hartwegii
lasiophyllum_PWS_2174,lasiophyllum
hallii_PWS_2180,triphyllum
tinoides_PWS_2177,tinoides_2
subsessile_PWS_2171,subsessile
anabaptista_PWS_2165,undulatum
tinoides_PWS_2151,tinoides_1
ayavacense_PWS_3884,seemenii
seemenii_PWS_3895,new_name_2
reticulatum_PWS_1706,reticulatum
triphyllum_PWS_1783,new_name_1
ayavacense_PWS_4006,ayavacense
pastasanum_PWS_1799,toronis
pichinchense_PWS_1669,pichinchense
hallii_PWS_1830,hallii
jamesonii_PWS_1636,jamesonii
costaricanum_MJD_85,costaricanum
stellato-tomentosum_MJD_83,stellato-tomentosum
villosum_PWS_3918,villosum
alpinum_PWS_3924,alpinum
fuscum_PWS_3058,new_sp_2
stenocalyx_EJE_606,membranaceum
sulcatum_MEX_003,new_sp_1
acutifolium_PWS_3059,acutifolium
microphyllum_DE_002,microphyllum
fuscum_shiny_EJE_604,fuscum
hybrid_MJD_001_tuton_111716,sulcatum
dentatum_ELS_027,dentatum
stenocalyx_PWS_3234,stenocalyx
loesnerii_MJD_75,loeseneri
tiliafolium_PWS_3222,tiliaefolium
microcarpum_PWS_3202,microcarpum
caudatum_PWS_3216,caudatum
ciliatum_PWS_3220,ciliatum
hybrid_PWS_3206,hirsutum
jucundum_MKM_20,jucundum
lautum_PWS_3106,lautum
blandum_PWS_3088,blandum
__EJE_629,discolor
