Iteration	Posterior	Likelihood	Prior	clado_event_probs[1]	clado_event_probs[2]	dispersal_rate	extirpation_rate	p_allopatry	p_sympatry	r_morph
0	-144.7294	-147.9857	3.256362	0.0829642	0.917036	0.006564363	0.009844314	0.9170358	0.08296421	0.3487306
1	-145.2254	-148.4616	3.236139	0.0829642	0.917036	0.008586648	0.009844314	0.9170358	0.08296421	0.3487306
2	-148.1819	-150.8371	2.655255	0.227738	0.772262	0.007919913	0.02479341	0.7722624	0.2277376	0.3925367
3	-144.4991	-147.7705	3.27131	0.0143811	0.985619	0.007225945	0.01052334	0.9856189	0.01438106	0.3458952
4	-142.9667	-147.0222	4.055441	0.0143811	0.985619	0.007283962	8.412587e-05	0.9856189	0.01438106	0.2778633
5	-143.3617	-148.0077	4.646062	0.0143811	0.985619	0.004957583	0.000451277	0.9856189	0.01438106	0.2207604
6	-143.7543	-148.6548	4.90051	0.0640197	0.93598	0.007122308	0.003074289	0.9359803	0.0640197	0.1905279
7	-144.7938	-147.5853	2.791442	0.115204	0.884796	0.006827549	0.004425008	0.8847965	0.1152035	0.4003788
8	-145.8189	-146.7452	0.9262897	0.0168281	0.983172	0.007466881	0.003155023	0.9831719	0.01682811	0.5875247
9	-146.6882	-147.9999	1.311709	0.157652	0.842348	0.004854967	0.003155023	0.842348	0.157652	0.5515947
10	-143.6999	-148.2006	4.500704	0.0341941	0.965806	0.005715459	0.005989077	0.9658059	0.03419409	0.2290006
11	-145.557	-146.9197	1.362687	0.082845	0.917155	0.005829401	0.001710003	0.917155	0.08284496	0.5469674
12	-147.1805	-151.2308	4.050275	0.0683906	0.931609	0.009219874	0.02945349	0.9316094	0.06839064	0.2470747
13	-144.5462	-148.5203	3.974017	0.0683906	0.931609	0.009219874	0.004132771	0.9316094	0.06839064	0.2800212
14	-143.4789	-147.4678	3.988931	0.00603841	0.993962	0.007728521	0.004132771	0.9939616	0.006038409	0.2800212
15	-146.2574	-150.0737	3.816327	0.00603841	0.993962	0.01034985	0.01877175	0.9939616	0.006038409	0.2800212
16	-144.5323	-148.506	3.973697	0.0910648	0.908935	0.00514714	0.008237465	0.9089352	0.0910648	0.2800212
17	-144.1737	-148.1472	3.973485	0.0499148	0.950085	0.008736211	0.004669632	0.9500852	0.04991482	0.2800212
18	-146.9802	-150.7845	3.804262	0.0499148	0.950085	0.004914182	0.02541398	0.9500852	0.04991482	0.2800212
19	-146.0539	-150.0565	4.002523	0.0456355	0.954365	0.007867134	0.02444103	0.9543645	0.04563545	0.2582151
