Iteration	dispersal_rate	extirpation_rate	p_sympatry	r_morph
0	0.006564363	0.009844314	0.08296421	0.3487306
10	0.005715459	0.005989077	0.03419409	0.2290006
20	0.01235925	0.01314342	0.03774766	0.2582151
30	0.007031011	0.005970156	0.05850588	0.282884
40	0.00734616	0.01074123	0.03858241	0.2594243
50	0.00580723	0.002302973	0.09095244	0.550872
60	0.009548463	0.0004040857	0.02387501	0.1998546
70	0.01136797	0.01670219	0.155702	0.7632473
80	0.005353012	0.001650904	0.2381993	0.1851565
90	0.006925427	0.004863075	0.2774737	0.2116621
100	0.005782189	0.004213273	0.02474625	0.3532849
110	0.004661922	0.001957046	0.1942965	0.1401684
120	0.007912354	0.0221042	0.1068422	0.1424149
130	0.006257698	0.001351559	0.02448806	0.3928791
140	0.008679047	0.001740148	0.05284269	0.4003419
150	0.004127076	0.003657401	0.0441532	0.2690454
160	0.006578688	0.0072754	0.06095233	0.274332
170	0.006705022	0.0003977197	0.06151994	0.2702257
180	0.006373476	0.0006862989	0.1632886	0.3866249
190	0.006006385	0.01912995	0.06617096	0.2488999
200	0.007356741	0.003446595	0.1018196	0.4212703
210	0.005548498	0.004717723	0.01045657	0.1726759
220	0.005258777	0.0001375034	0.07795902	0.5091771
230	0.005388662	0.003393468	0.1208745	0.3108845
240	0.009112867	0.001281585	0.1151941	0.4213536
250	0.006359515	0.004080345	0.281993	0.2535953
260	0.006485239	0.01223396	0.1873303	0.2722855
270	0.005863583	0.01234923	0.2359467	0.3606409
280	0.004443555	0.007115668	0.03145131	0.242107
290	0.004506368	0.001606162	0.07959886	0.3698065
300	0.007752487	0.00411998	0.08202679	0.2224025
310	0.002738126	0.01507303	0.1166456	0.4290148
320	0.003805975	0.001087601	0.1230118	0.4806025
330	0.008119063	0.006486613	0.05301765	0.2800427
340	0.009828016	0.01251407	0.4007239	0.2323998
350	0.005108407	0.006906453	0.008154968	0.3933794
360	0.005857226	0.005127873	0.1077431	0.2872165
370	0.007740078	0.001136115	0.12115	0.2465489
380	0.007075695	0.002624357	0.05289274	0.2749803
390	0.008771716	0.02803317	0.03846603	0.1636872
400	0.005472145	0.0104322	0.08776739	0.4614628
410	0.007384665	0.004837279	0.08107116	0.6071576
420	0.008258895	0.02804599	0.02669571	0.3562471
430	0.006623129	0.006033806	0.08414825	0.2707267
440	0.008666385	0.008656634	0.04128363	0.251522
450	0.005553787	0.01554757	0.2016834	0.4562511
460	0.005136275	0.01119691	0.02894666	0.4154651
470	0.007582059	0.005318736	0.1310358	0.3809957
480	0.003969989	0.007714471	0.3306367	0.4831982
490	0.007225279	0.01705956	0.179299	0.1864898
500	0.005657997	0.02164745	0.1095749	0.3392815
510	0.005784565	0.008428856	0.02063718	0.2122747
520	0.004895081	0.01128053	0.0777413	0.1844255
530	0.004747224	0.004570933	0.2757176	0.3005032
540	0.006853264	0.004220799	0.05603585	0.2800509
550	0.004645103	0.01027756	0.1820222	0.2441663
560	0.008620958	0.0136818	0.07088856	0.2148607
570	0.009916499	0.00759469	0.1464234	0.3372633
580	0.005751986	0.00201713	0.2722293	0.3025907
590	0.00739007	0.001245976	0.2613061	0.3950747
600	0.008498821	0.01882078	0.005084856	0.2215719
610	0.01008594	0.01331491	0.06398849	0.6779306
620	0.008134882	0.02658016	0.1164632	0.2211893
630	0.01112374	0.01867216	0.1645796	0.2669876
640	0.008440227	0.001068343	0.06606212	0.3571169
650	0.006699784	0.001234898	0.1538683	0.1712556
660	0.004990683	0.007240685	0.2787599	0.2326468
670	0.00698686	0.004865581	0.00833945	0.4713627
680	0.006631015	0.005188398	0.02282143	0.321284
690	0.008752213	0.00393814	0.2453236	0.3157264
700	0.009060747	0.02116045	0.0258818	0.2275407
710	0.007210484	0.01292857	0.0950331	0.3787965
