species	site	percent_sky_pixels
lautum	teopisca	37.63092101
lautum	teopisca	29.31185281
lautum	teopisca	21.31289679
lautum	teopisca	22.77384199
lautum	teopisca	37.92321946
lautum	teopisca	31.16085352
lautum	teopisca	43.83282483
lautum	teopisca	30.26461955
lautum	teopisca	24.021103
lautum	teopisca	30.24164047
lautum	moxviqil	21.32060913
lautum	moxviqil	20.75291235
lautum	moxviqil	31.37314704
lautum	moxviqil	27.09447038
lautum	moxviqil	29.74018429
lautum	moxviqil	26.90185836
lautum	moxviqil	30.35402798
lautum	moxviqil	22.91210938
lautum	moxviqil	23.72294132
lautum	moxviqil	26.24929888
jucundum	huit_high	12.65591485
jucundum	huit_high	16.21124569
jucundum	huit_high	17.35555735
jucundum	huit_high	18.79699827
jucundum	huit_high	16.50678778
jucundum	huit_high	19.7663762
jucundum	huit_high	18.77713958
jucundum	huit_high	20.29626633
jucundum	huit_high	21.88060512
jucundum	huit_high	20.5737141
jucundum	huit_mid	11.42206376
jucundum	huit_mid	13.62738844
jucundum	huit_mid	17.31489999
jucundum	huit_mid	14.88736594
jucundum	huit_mid	12.8599567
jucundum	huit_mid	11.62991941
jucundum	huit_mid	12.84438178
jucundum	huit_mid	14.08473558
jucundum	huit_mid	17.93782359
jucundum	huit_mid	14.71477056
hartwegii	pocolum	14.62615184
hartwegii	pocolum	18.20463511
hartwegii	pocolum	25.48558463
hartwegii	pocolum	21.19812854
hartwegii	pocolum	45.75644107
hartwegii	pocolum	42.7690266
hartwegii	pocolum	21.22060296
hartwegii	pocolum	19.89284008
hartwegii	pocolum	45.51004299
hartwegii	pocolum	23.06122488
