gbifID	species	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	year	institutionCode	collectionCode	catalogNumber	recordNumber	recordedBy	CHELSA_01	CHELSA_02	CHELSA_03	CHELSA_04	CHELSA_05	CHELSA_06	CHELSA_07	CHELSA_08	CHELSA_09	CHELSA_10	CHELSA_11	CHELSA_12	CHELSA_13	CHELSA_14	CHELSA_15	CHELSA_16	CHELSA_17	CHELSA_18	CHELSA_19	MODCF_CloudForestPrediction	MODCF_interannual	MODCF_intraannual	MODCF_meanannual	MODCF_monthlymean_01	MODCF_monthlymean_02	MODCF_monthlymean_03	MODCF_monthlymean_04	MODCF_monthlymean_05	MODCF_monthlymean_06	MODCF_monthlymean_07	MODCF_monthlymean_08	MODCF_monthlymean_09	MODCF_monthlymean_10	MODCF_monthlymean_11	MODCF_monthlymean_12	MODCF_seasonalityconcentration	MODCF_seasonality_theta	MODCF_spatialSD_1deg	elevation	slope
2807587496	hartwegii	16.43	-92.4	NA	1965	TEX	LL	78397	NA	Dennis Breedlove|Peter H. Raven	185.388809	80	564.203735	1398.286987	256.286957	115.286949	141	193.388809	168.286942	203.286942	162.388809	1096.565308	229.509323	10	87.101868	627.731689	31.898136	247.916779	40.796272	0.000733	1028.882446	1913.228271	7369.847656	5227.076172	4568.083008	5396.257324	5859.667969	8502.727539	9232.571289	8910.871094	9329.200195	9437.643555	9132.415039	7286.184082	5555.491211	169.034576	2347.110596	1261.055298	1611.286255	5.640174
2807341441	hartwegii	16.54	-92.43	NA	1967	TEX	LL	78404	NA	Alush Ton	160.947983	79	568	1433.701294	229.947983	90.298653	140	169.947983	141.947983	177.947983	136.947983	1094.156006	226.70134	13	83	619.753357	41	241.350677	51	0.001128	955.169739	1612.885254	7578.395508	5762.884277	5485.79834	5976.095215	6508.284668	8935.868164	9520.830078	8855.015625	8975.886719	9239.466797	8916.335938	6928.941406	5837.887695	136.754578	2258.603271	1139.093994	1959.978638	13.682336
2807246157	hartwegii	16.47	-92.41	NA	1987	TEX	TEX	78376	NA	Martin Gomez Lopez	176	80	566	1410	247	106	141	185	158	194	153	1098	229	11	85	627	35	244	44	0.000617	1001	2050	7048	5102	4227	4295	5471	8107	9162	8852	9024	9438	8833	6617	5447	190	2361	1233	1728.561646	1.860648
2630168583	hartwegii	16.919722	-92.993972	NA	2009	UNICACH	HEM	NA	NA	J.A.E.J.	213.361359	77	547.992371	1669.699829	282.361359	140.692139	141	222.692139	205.361359	233.361359	185.692139	1085.893066	205.315506	18.330786	75	579.615723	62.661572	188.307861	88.992355	0.000133	1001	2018	6536	5132	4139	3934	4104	6969	8566	8512	8837	8995	8066	6187	4990	201	2414	1063	951.39386	10.022143
2630168505	hartwegii	17.200278	-93.008889	NA	2005	UNICACH	HEM	NA	NA	F.O.R.	187.994232	74.737976	542.559448	1742.596069	254.226608	116.994232	137.262024	191.226608	194.994232	206.994232	159.964584	2431.234131	400.827728	75.60125	48	1125.758057	239.981964	335.739014	488.328827	0.000643	893.233276	1248.290039	8043.999023	7126.950684	6459.139648	7053.465332	6214.282227	8179.53418	9332.799805	9345.546875	9534.085938	9305.171875	9085.676758	7912.820312	6976.150391	99.075424	2411.374756	877.962402	1355.042847	3.890539
2629670448	hartwegii	16.871667	-92.476944	NA	1983	INECOL	XAL	108026	NA	A. Mendez G.	174	77	560	1590	242	104	138	184	166	193	148	1866	331	45	65	936	135	362	179	0.000417	1042	1203	6862	6401	5158	5256	5519	7411	8441	8066	7814	7904	7892	6667	5819	108	2370	785	1678.172119	8.139393
2629510614	hartwegii	16.972222	-92.913889	NA	1995	INECOL	XAL	108029	NA	N. Ramirez-Marcial	196.234009	77	552	1670.350952	264.117004	125.117004	140	207.117004	188.117004	216.117004	169.234009	1446.447876	262.478973	27.882998	69	746.021912	96.53199	244.946976	143.414993	9.20E-05	1027	1649	5820	4618	3667	3917	3998	6575	7767	7348	7101	7878	7170	5524	4272	180	2367	1053	1346.942627	9.66312
2629510613	hartwegii	16.992222	-92.858055	NA	1995	INECOL	XAL	108027	NA	H. Mejia E.	189.619125	77	553.92157	1667.523926	256.61911	117.619118	139	199.619125	180.619125	208.619125	162.487488	1341.114258	235.886963	27.584349	69.741257	681.369324	90.621414	234.198364	127.140991	0.000181	1108.875366	1389.904419	6140.257812	5611.519043	4635.877441	4297.833984	4275.233398	6298.149414	7850.628418	7704.25	7257.383789	7640.515137	7189.043457	6115.851562	4802.855957	140.077698	2418.453857	1035.658813	1447.623779	20.166601
2629509610	hartwegii	16.520278	-92.407222	NA	1994	INECOL	XAL	108025	NA	S. Ochoa-Gaona	161.27417	79	568.217102	1425.326294	230.316452	90.290253	140	170.014755	142.332535	178.27417	137.27417	1108.128296	228.810394	13	83.058357	625.632263	40.957718	246.240021	51.132565	0.001102	946.583252	1679.503906	7576.651367	5665.695312	5608.918457	5676.496094	6621.994141	9030.637695	9446.269531	8742.629883	9195.041016	9375.928711	9009.618164	6855.550293	5687.847168	141.912796	2263.463135	1148.738403	1974.439697	3.588931
2629500611	hartwegii	16.88	-92.472778	NA	1995	INECOL	XAL	108030	NA	H. Mejia E.	185.636719	77	557.878906	1604.242188	253.636719	114.636711	139	195.636719	177.636719	203.636719	158.636719	1771.382935	319.332062	44.121094	64.121094	895.843811	134.121094	334.785187	179.242188	0.000278	1097.775269	1169.197266	6602.394531	6107.398926	5175.710938	4900.967773	5264.738281	7129.412598	8251.504883	7728.183594	7326.518555	7601.669922	7742.550293	6344.004395	5650.178711	106.261467	2376.045898	770.844055	1495.483276	13.409165
