gbifID	species	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	year	institutionCode	collectionCode	catalogNumber	recordNumber	recordedBy
1897341749	acutifolium	-96.5275	17.648333	NA	2004	INECOL	IEB	197141	NA	A. Rincon G.
1260439660	acutifolium	-96.5275	17.64833	NA	2004	MO	MO	3061760	Rincon Gutierrez 3069	A. Rincon G.
2629497580	acutifolium	-96.551944	17.663611	NA	1994	INECOL	XAL	107920	NA	A. Rincon G.; C. Gallardo H.; P. Osorio H.; S. Espinoza; N. Flores H.
2629507572	acutifolium	-96.517778	17.688333	NA	1993	INECOL	XAL	107921	NA	A. Rincon G.; J. Meave del C.; C. Gallardo H.; M.A. Otero A.; L. Lozada-Perez
1260439858	acutifolium	-96.55111	17.68833	NA	1993	MO	MO	3061941	Rincon Gutierrez 239	A. Rincon G.|Claudia Gallardo Hernandez|Jorge A. Meave|Adriana Otero Arnaiz|Lucio Lozada-Perez
1260437480	acutifolium	-96.56	17.66555	NA	1994	MO	MO	3059799	Rincon Gutierrez 3114	A. Rincon G.|Claudia Gallardo Hernandez|Jorge A. Meave|Noe Velazquez R.|Gerardo Carreon
1260445387	acutifolium	-96.51777	17.68833	NA	1993	MO	MO	3066917	Rincon Gutierrez 229	A. Rincon G.|Jorge A. Meave|Claudia Gallardo Hernandez|Adriana Otero Arnaiz|Lucio Lozada-Perez
2629490581	acutifolium	-96.276914	17.245106	NA	1985	INECOL	XAL	94373	NA	A.J. Garcia M.
2629666686	acutifolium	-96.534444	17.719722	NA	1996	INECOL	XAL	107925	NA	C. Gallardo H.; J. Meave del C.; N. Velazquez R.; R. Santiago H.
1897341701	acutifolium	-96.543333	17.700833	NA	1996	INECOL	IEB	197142	NA	C. Gallardo H.; J. Meave del C.; N. Velazquez R.; S. Mendoza A.; J. Gaxiola F.; B. Osorio M.
1897341712	acutifolium	-96.553889	17.662222	NA	1993	INECOL	IEB	197140	NA	C. Gallardo H.; L. Lozada P.; A. Rincon G.; J. Meave del C.; A. Otero A.; J. Osorio M.
