new_name	N	area	densityt	ar	angleb	anglet	area_sd	area_se	densityt_sd	densityt_se	ar_sd	ar_se	angleb_sd	angleb_se	anglet_sd	anglet_se	trichome	type	region	logarea	logteeth	logar	type3	
ayavacense	ayavacense	14	24.85014286	0.176843052	1.862640351	126.4369286	68.885	13.62348513	3.641029556	0.136850547	0.036574847	0.23561525	0.062970824	29.77805428	7.958519769	29.05484433	7.765233779	1	IGE	ec_peru	3.21286350141947	-1.73249265163423	0.621995024674049	GE
new_name_1	new_name_1	10	16.0643	0.133993877	2.129936471	98.2	71.6	8.122245544	2.568479563	0.105153933	0.033252593	0.310394291	0.098155293	13.68535308	4.327688631	13.22623655	4.182503238	1	SGE	ec_peru	2.77659941863374	-2.00996117410508	0.756092153454939	GE
reticulatum	reticulatum	23	41.75186957	0.356985191	1.874446606	101	86.30434783	20.57644134	4.29048461	0.241176215	0.050288717	0.360596254	0.075189517	24.99090744	5.210964421	19.87788809	4.144826187	2	LPT	ec_peru	3.73174423041403	-1.03006097985561	0.628313472392303	LPT
new_name_2	new_name_2	13	10.65530769	0.043918056	2.860754654	77.38461538	43	4.828375976	1.339150551	0.05141164	0.014259024	0.544866119	0.151118672	27.8823076	7.733160748	6.377042157	1.768673268	1	SGE	peru_bol	2.36605814265592	-3.12542974505555	1.05108545506047	GE
seemenii	seemenii	22	26.97595455	0.139561021	2.064884225	100.9545455	72.54545455	13.04970964	2.782207444	0.164293467	0.035027485	0.347886489	0.074169649	24.69138518	5.264221008	16.04970634	3.421808889	1	IGE	peru_bol	3.29494589698706	-1.96925334684051	0.725074159465972	GE
toronis	toronis	12	41.90925	0.059091278	2.11691283	82.66666667	66.16666667	16.24938313	4.690792861	0.072990302	0.021070485	0.221960897	0.064074592	20.36634181	5.879256464	16.92138686	4.88478363	1	IGE	e_col	3.73550656628652	-2.82867194583339	0.74995881511224	GE
hallii	hallii	10	19.8915	0.214642175	2.084519875	98.3243	71.9666	9.950988351	3.146778816	0.25511594	0.080674744	0.573618745	0.181394174	37.98142543	12.01078131	19.29209417	6.100695842	1	IGE	ec_col	2.99029250480363	-1.53878293966974	0.73453855295385	GE
jamesonii	jamesonii	10	36.0031	0.31232666	1.804229136	144.3	88.8	14.57057573	4.607620611	0.213292878	0.06744913	0.184815202	0.058443699	34.67964501	10.96666667	27.35690041	8.651011502	2	LPT	ec_col	3.58360504585987	-1.16370565170198	0.590133429095708	LPT
pichinchense	pichinchense	22	35.85327273	0.13334222	1.909252282	131.0454545	74.5	14.40760776	3.071712296	0.108411494	0.023113408	0.34378399	0.073294993	23.91548069	5.098797614	13.91042774	2.96571316	2	LPT	ec_col	3.57943485241874	-2.01483637276328	0.646711690019373	LPT
lasiophyllum	lasiophyllum	11	49.79836364	0.416417651	1.841948673	111	86	16.96136525	5.114044042	0.178768406	0.053900702	0.224726726	0.067757657	36.18010503	10.90871211	12.82185634	3.865935145	2	LPT	e_col	3.90798212485621	-0.876066553610435	0.610824072624037	LPT
triphyllum	triphyllum	13	14.23415385	0.031825504	2.123062451	104	78.69230769	5.90079767	1.636586813	0.045771073	0.012694612	0.349754964	0.097004573	29.54939368	8.195527235	11.05580251	3.066327912	1	SGE	e_col	2.6556442774459	-3.44748729805762	0.752859598680364	GE
tinoides2	tinoides2	7	28.05414286	0.020714441	2.18424983	96.51214286	60.05985714	9.595767165	3.626859079	0.05480526	0.020714441	0.213757118	0.080792597	18.1904911	6.875359383	13.94049399	5.269011466	1	IGE	e_col	3.33413631660646	-3.87692418909325	0.781272442366145	GE
subsessile	subsessile	10	20.5399	0.05180184	1.944727326	93.4844	83.9529	10.19425908	3.223707774	0.071152679	0.022500453	0.243788154	0.077092583	21.66579973	6.851327448	20.61469718	6.518939635	1	IGE	w_col	3.02236933593939	-2.96032960911204	0.665121774954635	GE
undulatum	undulatum	23	52.93178261	0.255227593	2.333585563	104.7391304	58.65217391	24.52431763	5.113673721	0.127978641	0.026685391	0.364202762	0.075941526	26.37012323	5.498550794	10.32916742	2.153780292	2	LPT	w_col	3.96900396393494	-1.36559961031562	0.847405952973561	LPT
tinoides1	tinoides1	13	42.34561538	0.096817554	2.138606735	97	57	19.63251779	5.445080734	0.110938907	0.030768917	0.256059934	0.071018248	23.35950913	6.478762148	10.98483804	3.046645907	1	IGE	w_col	3.74586488279837	-2.33492695816505	0.760154558591983	GE
costaricanum	costaricanum	26	24.34830769	0.098834556	2.262758728	80.36253846	49.40569231	10.8634697	2.130501692	0.125766257	0.024664792	0.382181982	0.074952053	17.78858997	3.488629515	14.56687782	2.856799779	1	IGE	costa_rica	3.19246234772942	-2.31430797829405	0.816584744971046	GE
hartwegii	hartwegii	22	33.80913636	0.037211537	2.455362414	106.1363636	51.36363636	14.04573376	2.9945605	0.047827723	0.010196905	0.354345771	0.075546772	18.72684718	3.992577233	9.413998971	2.007071324	1	IGE	chiapas	3.52073107247163	-3.29113643137617	0.8982743731619	GE
obtusatum	obtusatum	10	6.6509	0.01	2.100853877	117.2334	64.4386	3.167922504	1.001785056	0	0	0.230131911	0.0727741	21.34253656	6.749102657	23.09505309	7.303297046	1	SGE	chiapas	1.89475218385622	-4.60517018598809	0.742343870181945	GE
villosum	villosum	21	29.69790476	0.110480697	1.680443271	140.3809524	75.71428571	14.96132207	3.264828137	0.122397986	0.02670943	0.264990786	0.05782573	31.9772985	6.978018613	14.86654922	3.244147006	1	IGE	jamaica	3.39107649651876	-2.20291446106682	0.519057610398121	GE
alpinum	alpinum	10	37.1336	0.01	1.623344584	132.1251	64.8028	22.27897969	7.045231975	0	0	0.206858603	0.065414434	17.36418943	5.491038832	9.300544271	2.941090337	1	IGE	jamaica	3.61452222012783	-4.60517018598809	0.484488578997855	GE
stellato_tomentosum	stellato_tomentosum	15	52.05193333	0.3800584	1.589762065	154.8666667	73.66666667	17.90911528	4.624113682	0.143458602	0.037040852	0.248574071	0.064181549	39.27897778	10.14178845	15.97617273	4.125030062	2	LPT	costa_rica	3.95224193807914	-0.967430353859388	0.463584360380174	LPT
jucundum	jucundum	23	76.91691304	0.601645959	1.486491422	150.6086957	75.95652174	30.64815833	6.390582776	0.129761887	0.027057224	0.249702988	0.052066672	34.18630658	7.128337684	12.83630597	2.676554818	2	LPT	chiapas	4.34272578782998	-0.508086114650065	0.39641859283728	LPT
lautum	lautum	24	8.184208333	0.068507343	1.82662171	134.25	74.45833333	5.481362525	1.11887844	0.100104274	0.020433699	0.273544438	0.055837025	27.69280239	5.652769617	10.66476999	2.176937057	1	SGE	chiapas	2.10220648445924	-2.68081434237886	0.602468200675082	GE
blandum	blandum	29	14.93162069	0.088399237	2.127044487	120.6551724	56.82758621	5.499663622	1.021261896	0.136221383	0.025295676	0.263451608	0.048921736	26.76921988	4.970919338	10.47469388	1.945101822	1	SGE	chiapas	2.70348115823839	-2.42589194059751	0.754733451373143	GE
disjunctum	disjunctum	11	99.17018182	0.272067175	2.121570947	112.8181818	65.09090909	60.74488615	18.3152723	0.172564128	0.052030042	0.507865009	0.153127062	17.08109002	5.15014242	12.13634661	3.659246185	2	LPT	chiapas	4.59683738261372	-1.30170627626568	0.752156827005387	LPT
discolor	discolor	20	20.7305	0.366178677	1.834056649	123.65	67.1	10.37976052	2.32098501	0.230789509	0.051606103	0.218395	0.048834607	33.08724512	7.398532927	7.21766838	1.613919714	2	LPT	chiapas	3.0316060457902	-1.00463387618143	0.606530261579706	LPT
new_sp_2	new_sp_2	10	36.0728	0.083088865	2.048357481	136.2882	47.8871	15.65158085	4.949464446	0.089945304	0.028443202	0.258930786	0.081881104	47.64584707	15.06693978	17.67197142	5.588368043	1	IGE	oaxaca	3.58553911873935	-2.48784458128541	0.717038243214492	GE
membranaceum	membranaceum	8	23.801	0.403950841	1.915174016	114.31275	58.849875	10.24597818	3.622500325	0.057340884	0.020273064	0.413572068	0.146219807	29.76139639	10.5222426	29.70364973	10.50182607	1	D	oaxaca	3.16972759660147	-0.906462089117752	0.649808488478074	D
new_sp_1	new_sp_1	12	36.94041667	0.223660786	1.900297441	141.4166667	62.41666667	15.09485606	4.357509605	0.14032769	0.040509115	0.26666248	0.076978827	24.05848304	6.945085829	11.49275134	3.31767154	2	LPT	oaxaca	3.60930625435014	-1.49762472312555	0.642010421814789	LPT
acutifolium	acutifolium	16	5.530375	0.060924414	1.872579802	123.9375	65.5625	3.075694477	0.768923619	0.082372663	0.020593166	0.279903802	0.069975951	23.16453827	5.791134568	13.23615629	3.309039073	1	SGE	oaxaca	1.71025562517002	-2.79812129790038	0.627317053391642	GE
microphyllum	microphyllum	11	12.08536364	0.017169071	2.128326855	105.7349091	61.96127273	4.717502926	1.42238065	0.0297233	0.008961912	0.501689005	0.151264926	24.76968224	7.468340196	24.12818941	7.27492283	1	SGE	central_mex	2.4919951038972	-4.06464571153537	0.75533615695898	GE
fuscum	fuscum	16	34.3565	0.034093658	2.113833633	109.262375	54.29175	14.10621808	3.52655452	0.055740211	0.013935053	0.401866487	0.100466622	23.12207591	5.780518978	17.54431148	4.38607787	1	IGE	oaxaca	3.53679122929674	-3.37864389439423	0.748503186621794	GE
sulcatum	sulcatum	10	57.2761	0.359832205	1.583003361	110.4452	41.9015	31.56957467	9.983176072	0.23885268	0.075531849	0.331736335	0.10490424	54.87603675	17.35332651	13.85852258	4.382449635	2	LPT	oaxaca	4.04788343374221	-1.02211745341128	0.459323904080449	LPT
hirsutum	hirsutum	10	53.6631	0.787840954	1.311093781	140.2736	32.7732	14.86063885	4.699346625	0.335050876	0.10595239	0.208041183	0.065788399	24.252219	7.669225036	11.04810887	3.493718785	2	D	east_mexico	3.98272561448049	-0.238459044521069	0.270861736166687	D
ciliatum	ciliatum	9	16.223	1.359515131	1.47166977	176.8874444	68.83788889	7.874584545	2.624861515	0.456212712	0.152070904	0.132805846	0.044268615	37.22445743	12.40815248	10.44419126	3.481397087	1	D	east_mexico	2.78642998842826	0.307128114855595	0.386397654105862	D
caudatum	caudatum	18	43.97116667	0.102613765	1.322136604	196	76.38888889	16.0827113	3.790731406	0.135392339	0.03191228	0.164681092	0.038815706	43.36981873	10.22236431	10.6888556	2.519387425	1	IGE	east_mexico	3.78353411615889	-2.27678319345098	0.279249067407369	GE
microcarpum	microcarpum	22	64.797	0.878140073	1.197023157	175.5	95.40909091	22.86767832	4.875405399	0.249641267	0.053223697	0.151200474	0.032236049	26.33800441	5.615281407	11.40450659	2.431448975	2	LPT	east_mexico	4.17125930599023	-0.129949161625137	0.179837772253369	LPT
tiliaefolium	tiliaefolium	15	95.30573333	0.65099652	1.203251901	184.8666667	85.26666667	28.39951406	7.332722999	0.197969939	0.051115618	0.176971319	0.045693798	35.99179801	9.293042286	13.11197199	3.385496611	2	LPT	east_mexico	4.55708996971101	-0.429250982409976	0.185027809087638	LPT
