NameInAssembly,Last_valid_name,state,reads_raw,reads_passed_filter,clusters_total,clusters_hidepth,hetero_est,error_est,reads_consens,loci_in_assembly,spp_dataset,full_dataset,full_dataset_withAyava,for_abba_tests,Lat,Long,species_outdated,group,Country,Locality,Lastest_SP_name,UltimateName,Num_for_Publication
__EJE_617,jucundum,7,2300041,2292459,21041,16220,0.001099,0.001019,16143,15277,,1,1,1,,,jucundum,chi,?,?,jucundum,jucundum-EJE_617,1
__EJE_619,jucundum,7,3472750,3461502,28690,21880,0.001235,0.001027,21753,20167,,1,1,1,,,jucundum,chi,Mexico,?,jucundum,jucundum-EJE_619,2
__EJE_629,discolor,7,2919111,2910102,31087,24251,0.001503,0.001035,24099,22378,1,1,1,,,,discolor,chi,Mexico,?,discolor,discolor-EJE_629,
__EJE_630,blandum,7,690024,687523,12598,9420,0.000985,0.001021,9373,8858,,1,1,,,,blandum,chi,?,?,blandum,blandum-EJE_630,
__EJE_631,discolor,7,1004434,1001269,10784,8258,0.000878,0.001053,8214,7749,,1,1,,,,discolor,chi,Mexico,?,discolor,discolor-EJE_631,
acutifolium_DRY3_MEX_006,acutifolium,7,5539875,5145250,86824,66853,0.004643,0.001902,65491,60678,,1,1,1,,,acutifolium,oax,Mexico,Oaxaca-?,acutifolium,acutifolium-DRY3_MEX_006,4
acutifolium_MEX_005,acutifolium,7,2079676,1902108,84965,64347,0.00476,0.001952,62959,58270,,1,1,1,,,acutifolium,oax,Mexico,Oaxaca,acutifolium,acutifolium-MEX_005,5
acutifolium_MJD_011_tuton_111816,acutifolium,7,4575275,4565672,72249,58249,0.003095,0.001264,57425,54490,,1,1,1,17.259,-96.04,acutifolium,oax,Mexico,Oaxaca-Totontepec,acutifolium,acutifolium-MJD_011_tuton_111816,1
acutifolium_MJD_012_tuton_111816,acutifolium,7,3414396,3401274,62868,49496,0.002475,0.001172,48889,46220,,1,1,1,17.259,-96.04,acutifolium,oax,Mexico,Oaxaca-Totontepec,acutifolium,acutifolium-MJD_012_tuton_111816,2
acutifolium_MJD_60,acutifolium,7,2791871,2689503,93169,70709,0.005492,0.000713,66810,63862,,1,1,1,,,acutifolium,oax,Mexico,Oaxaca,acutifolium,acutifolium-MJD_60,3
acutifolium_PWS_3050,acutifolium,7,2000778,1993647,83292,62792,0.004235,0.001125,60827,57368,,1,1,1,17.5854,-96.517424,acutifolium,oax,Mexico,Oaxaca-Mirador,acutifolium,acutifolium-PWS_3050,6
acutifolium_PWS_3059,acutifolium,7,2105316,2094980,88704,69014,0.004302,0.001104,66998,63310,1,1,1,1,17.5634,-96.514372,acutifolium,oax,Mexico,Oaxaca-Ixtlan,acutifolium,acutifolium-PWS_3059,7
alpinum_PWS_3924,alpinum,7,3316992,3306129,42409,33587,0.00186,0.000998,33274,31532,1,1,1,,18.1971,-77.39187,alpinum,jam,Jamaica,Clarendon,alpinum,alpinum-PWS_3924,
anabaptista_PWS_2156,undulatum,7,2595336,2576671,87416,64502,0.004279,0.001164,62335,58368,,1,1,,5.02116,-75.36749,anabaptista,col,Colombia,Caldas,undulatum,undulatum-PWS_2156,9
anabaptista_PWS_2160,undulatum,7,2055865,2009629,83211,62043,0.004166,0.001046,60033,57227,,1,1,,5.98562,-75.60581,anabaptista,col,Colombia,Antioquia,undulatum,undulatum-PWS_2160,1
anabaptista_PWS_2162,undulatum,7,2287902,2278331,82837,58913,0.003961,0.001104,56947,53227,,1,1,,5.99654,-75.61134,anabaptista,col,Colombia,Antioquia,undulatum,undulatum-PWS_2162,2
anabaptista_PWS_2164,undulatum,7,577198,563671,41908,26278,0.002324,0.000972,25661,23219,,1,1,,6.00148,-75.39025,anabaptista,col,Colombia,Antioquia,undulatum,undulatum-PWS_2165,3
anabaptista_PWS_2165,undulatum,7,2157607,2143015,85441,62534,0.003992,0.001091,60461,56587,1,1,1,,5.9296,-75.30605,anabaptista,col,Colombia,Antioquia,undulatum,undulatum-PWS_2173,4
anabaptista_PWS_2173,undulatum,7,2561046,2540843,88781,68128,0.004247,0.00114,66024,62085,,1,1,,6.23878,-75.50165,anabaptista,col,Colombia,Antioquia,undulatum,undulatum-PWS_2173,8
ayavacense_PWS_3884,seemenii,7,5250815,5233886,82104,64463,0.002653,0.001314,63623,51600,1,1,1,1,-16.261,-67.78667,ayavacense,bol,Bolivia,,seemenii,seemenii-PWS_3884,1
ayavacense_PWS_3889,seemenii,7,5998181,5974694,96023,76124,0.002968,0.001318,74967,58222,,1,1,1,-16.41946,-67.54268,ayavacense,bol,Bolivia,,seemenii,seemenii-PWS_3889,3
ayavacense_PWS_3902,seemenii,7,5025862,5009714,65420,51027,0.002263,0.001271,50451,42619,,1,1,1,-17.82589,-64.64653,ayavacense,bol,Bolivia,,seemenii,seemenii-PWS_3902,4
ayavacense_PWS_3908,seemenii,7,12326120,12287145,89426,70199,0.002564,0.001285,69250,55352,,1,1,1,-17.19906,-65.8567,ayavacense,bol,Bolivia,,seemenii,seemenii-PWS_3908,2
blandum_EJE_618,jucundum,7,1302301,1298351,13517,10302,0.001131,0.001023,10242,9752,,1,1,1,,,blandum,chi,Mexico,?,jucundum,jucundum-EJE_618,
blandum_EJE_621,blandum,7,1971723,1965114,27681,20577,0.001455,0.001018,20427,17909,,1,1,,,,blandum,chi,Mexico,?,blandum,blandum-EJE_621,1
blandum_PWS_3088,blandum,7,2511910,2501188,84814,64252,0.003843,0.001159,62309,58755,1,1,1,,16.8191,-92.580442,blandum,chi,Mexico,Chiapas-Tzontehuiz,blandum,blandum-PWS_3088,2
caudatum_MJD_64,caudatum,7,2390707,2307495,86989,63576,0.005533,0.000692,59838,57609,,1,1,1,,,caudatum,pue,Mexico,Puebla-Honey,caudatum,caudatum-MJD_64,3
caudatum_PWS_3211,caudatum,7,2511488,2499334,83677,59026,0.002786,0.00201,58253,48388,,1,1,1,20.2747,-98.17722,caudatum,pue,Mexico,Puebla-Honey-Transect,caudatum,caudatum-PWS_3211,5
caudatum_PWS_3216,caudatum,7,2332894,2314081,75235,56886,0.002745,0.00195,56101,50878,1,1,1,1,20.2526,-98.204737,caudatum,pue,Mexico,Puebla,caudatum,caudatum-PWS_3216,4
caudatum_PWS_3221,caudatum,7,1026492,989671,47391,31531,0.001568,0.001818,31272,25428,,1,1,1,20.253,-98.20434,caudatum,pue,Mexico,Puebla-Honey,caudatum,caudatum-PWS_3221,6
caudatum_PWS_3223,caudatum,7,2628548,2612999,77266,59051,0.0028,0.002088,58242,53631,,1,1,1,20.2426,-98.20852,caudatum,pue,Mexico,Puebla-Honey-Transect-abandoned-mine-M1,caudatum,caudatum-PWS_3223,2
caudatum_PWS_3223_M1,caudatum,7,2766273,2753184,82270,66121,0.00423,0.002409,65004,60964,,1,1,1,20.2426,-98.20852,caudatum,pue,Mexico,Puebla-Honey-Transect,caudatum,caudatum-PWS_3223_M1,1
ciliatum_C1,ciliatum,7,1811272,1783002,63819,47686,0.002439,0.001919,47079,43228,,1,1,,20.25,-98.21,ciliatum,pue,Mexico,Puebla-Honey-Transect,ciliatum,ciliatum-C1,4
ciliatum_PWS_3220,ciliatum,7,2468987,2444802,91411,64238,0.00268,0.00193,63466,51731,1,1,1,,20.2426,-98.20852,ciliatum,pue,Mexico,Puebla-Honey,ciliatum,ciliatum-PWS_3220,3
ciliatum_PWS_3225,ciliatum,7,2289734,2281045,83252,57508,0.002365,0.001995,56874,46345,,1,1,,20.3169,-98.25694,ciliatum,pue,Mexico,Puebla-Honey,ciliatum,ciliatum-PWS_3225,1
ciliatum_SH2,ciliatum,7,3415335,3393546,88315,68563,0.003612,0.001995,67511,61148,,1,1,,20.25,-98.21,ciliatum,pue,Mexico,Puebla-Honey-Transect,ciliatum,ciliatum-SH2,2
costaricanum_MJD_85,costaricanum,7,1839695,1748388,93690,67494,0.005615,0.000737,63394,59708,1,1,1,,,,costaricanum,chi,Costa_Rica,,costaricanum,costaricanum-MJD_85,
dentatum_ELS_004,dentatum,7,4525137,4191759,107749,83444,0.00938,0.002174,80412,69963,,out,out,out,,,dentatum,FALSE,USA,,dentatum,dentatum-ELS_004,1
dentatum_ELS_015,dentatum,7,2387908,2245345,93058,69613,0.007987,0.001975,67311,59395,,out,out,out,,,dentatum,FALSE,USA,,dentatum,dentatum-ELS_015,2
dentatum_ELS_027,dentatum,7,6074592,5649116,107106,83286,0.007923,0.002079,81036,70341,out,out,out,out,,,dentatum,FALSE,USA,,dentatum,dentatum-ELS_027,4
dentatum_ELS_052,dentatum,7,4334501,4045960,89196,68149,0.006484,0.00208,66412,59625,,out,out,out,,,dentatum,FALSE,USA,,dentatum,dentatum-ELS_052,3
