,Specimen_ID,Species,area,aspect_ratio,tooth_density,trichome_q,region,trichome_categorical,stellate_hairs_stalked,type
0,HUH_00266674_B3a,acutifolium,12.222,1.672786885,0,4.97,oaxaca,1,0,SGE
1,G_Martin_545_A,acutifolium,5.719,1.753189401,0,4.97,oaxaca,1,0,SGE
2,acutifolium_MD_1_Mirador_2015,acutifolium,8.574,1.872049689,0,4.97,oaxaca,1,0,SGE
3,acutifolium_G_L_Webster_17481_E,acutifolium,5.171,1.810173047,0,4.97,oaxaca,1,0,SGE
4,acutifolium_R_Hernendez_N_2418_A,acutifolium,2.038,1.918314703,0,4.97,oaxaca,1,0,SGE
5,acutifolium_PWS_3060_B,acutifolium,8.362,2.042925975,0,4.97,oaxaca,1,0,SGE
6,acutifolium_MD_96_B,acutifolium,2.853,1.582838284,0,4.97,oaxaca,1,0,SGE
7,acutifolium_MD_2472_A,acutifolium,5.274,1.661691542,0,4.97,oaxaca,1,0,SGE
8,acutifolium_MD_2482_A,acutifolium,3.612,1.74784217,0,4.97,oaxaca,1,0,SGE
9,acutifolium_PWS_3050_A,acutifolium,7.239,2.192682927,0.065138093,4.97,oaxaca,1,0,SGE
10,acutifolium_PWS_3059_A,acutifolium,3.108,2.672144618,0.094161959,4.97,oaxaca,1,0,SGE
11,acutifolium_MD_171_A,acutifolium,4.168,1.589490969,0.100857287,4.97,oaxaca,1,0,SGE
12,W_Holmes_4552_Field,acutifolium,3.336,1.882157124,0.101102012,4.97,oaxaca,1,0,SGE
13,acutifolium_mirador_1_DSCN7586_a,acutifolium,10.801,2.131496063,0.17211704,4.97,oaxaca,1,0,SGE
14,acutifolium_PWS_3051_C,acutifolium,3.536,1.672151127,0.203148807,4.97,oaxaca,1,0,SGE
15,acutifolium_MD_23_A,acutifolium,2.473,1.759342302,0.238265428,4.97,oaxaca,1,0,SGE
16,alpinum_peckham_woods_5-25_a,alpinum,32.564,2.033887043,0,4.97,jamaica,1,0,IGE
17,alpinum_DSCN8696_B_a,alpinum,80.004,1.510166809,0,4.97,jamaica,1,0,IGE
18,alpinum_DSCN8731_A_a,alpinum,29.656,1.842500552,0,4.97,jamaica,1,0,IGE
19,alpinum1.jpg,alpinum,65.274,1.409143444,0,4.97,jamaica,1,0,IGE
20,alpinum7.jpg,alpinum,49.934,1.576692913,0,4.97,jamaica,1,0,IGE
21,alpinum3.jpg,alpinum,40.562,1.365528455,0,4.97,jamaica,1,0,IGE
22,alpinum2.jpg,alpinum,27.888,1.727774101,0,4.97,jamaica,1,0,IGE
23,alpinum4.jpg,alpinum,18.792,1.638147567,0,4.97,jamaica,1,0,IGE
24,alpinum5.jpg,alpinum,17.204,1.672561481,0,4.97,jamaica,1,0,IGE
25,alpinum6.jpg,alpinum,9.458,1.457043478,0,4.97,jamaica,1,0,IGE
26,YU.254897.jpg,ayavacense,17.16,2.39602649,0,4.97,jamaica,1,0,IGE
27,YU.254906.jpg,ayavacense,16.698,1.793494046,0,107.07,ec_peru,2,0,IGE
28,YU.254899.jpg,ayavacense,14.325,1.990419557,0,107.07,ec_peru,2,0,IGE
29,YU.254900.jpg,ayavacense,11.18,2.19434629,0,4.97,ec_peru,1,0,IGE
30,ayavacense 1 norther peru DSCN9765.jpg_B,ayavacense,43.915,1.65148651,0.135810517,4.97,ec_peru,1,0,IGE
31,ayavacense 2 northern peru DSCN9782.jpg_A,ayavacense,50.393,1.672263481,0.142389292,4.97,ec_peru,1,0,IGE
32,hallii_D_N_Smith_6967_B,ayavacense,14.948,1.784445805,0.149335457,107.07,ec_peru,2,0,IGE
33,ayavacense 1 norther peru DSCN9765.jpg_A,ayavacense,43.179,1.561341422,0.213089802,4.97,ec_peru,1,0,IGE
34,H_Vargas_4115_C,ayavacense,17.016,1.712116952,0.235017626,107.07,ec_peru,2,0,IGE
35,YU.254905.jpg,ayavacense,18.375,1.669783596,0.260892252,107.07,ec_peru,2,0,IGE
36,ayavacense 2 northern peru DSCN9782.jpg_B,ayavacense,36.476,2.102340426,0.292911541,4.97,ec_peru,1,0,IGE
37,YU.254896.jpg,ayavacense,12.772,1.873387644,0.32566218,4.97,ec_peru,1,0,IGE
38,H_Vargas_4116_A,ayavacense,16.965,1.768240343,0.357621815,107.07,ec_peru,2,0,IGE
39,YU.254910.jpg,ayavacense,34.5,1.907272348,0.363072251,4.97,ec_peru,1,0,IGE
40,D_Breedlove_7818_B,blandum,8.253,1.729006085,0,4.97,chiapas,1,0,SGE
41,"blandum_MD_1_Zontehuitz,_Chiapas_2015",blandum,14.018,2.084757348,0,4.97,chiapas,1,0,SGE
42,blandum_D_Breedlove_8720_A_a,blandum,21.799,2.159553696,0,4.97,chiapas,1,0,SGE
43,blandum_D_Breedlove_11627_A_a,blandum,22.773,1.779291553,0,4.97,chiapas,1,0,SGE
44,blandum_D_E_Breedlove_25036_A_a,blandum,15.531,2.26463621,0,4.97,chiapas,1,0,SGE
45,blandum_D_E_Breedlove_22809_B,blandum,9.924,2.522341376,0,4.97,chiapas,1,0,SGE
46,blandum_D_E_Breedlove_30429_A,blandum,11.066,1.886205635,0,4.97,chiapas,1,0,SGE
47,blandum_D_E_Breedlove_31133_A,blandum,8.862,1.946013289,0,4.97,chiapas,1,0,SGE
48,blandum_D_E_Breedlove_42763_A,blandum,23.279,2.27569964,0,4.97,chiapas,1,0,SGE
49,blandum_E_Matuda_401_B,blandum,9.158,2.671613212,0,4.97,chiapas,1,0,SGE
50,blandum_P_J_Stafford_301_E,blandum,6.717,2.11077993,0,4.97,chiapas,1,0,SGE
51,blandum_R_J_Hampshire_776_B,blandum,11,2.169224715,0,4.97,chiapas,1,0,SGE
52,blandum_MD_464_A,blandum,13.286,2.925155925,0,4.97,chiapas,1,0,SGE
53,blandum_motozintla_5_DSCN7972_a,blandum,15.804,2.089912987,0.044259538,4.97,chiapas,1,0,SGE
54,blandum_MD_458_A,blandum,8.496,1.958723404,0.064135454,4.97,chiapas,1,0,SGE
55,D_Breedlove_8116_A,blandum,25.483,2.016953378,0.071571715,4.97,chiapas,1,0,SGE
56,blandum_A_Sharp_46127_B_a,blandum,18.912,1.970251716,0.07582076,4.97,chiapas,1,0,SGE
57,blandum_D_Breedlove_11133_B_b,blandum,20.057,2.174204844,0.076204991,4.97,chiapas,1,0,SGE
58,blandum_motozintla_2_DSCN8023_a,blandum,16.789,2.360584912,0.083734561,4.97,chiapas,1,0,SGE
59,blandum_A_Shilom_Ton_703_D_a,blandum,19.319,1.739893617,0.087542677,4.97,chiapas,1,0,SGE
60,blandum_motozintla_1_DSCN8000_a,blandum,17.345,1.902553566,0.090624858,4.97,chiapas,1,0,SGE
61,blandum_J_Steyermark_36813_B_a,blandum,12.223,2.031069364,0.091873765,4.97,chiapas,1,0,SGE
62,blandum_motozintla_3_DSCN8065_a,blandum,20.29,2.236245955,0.12012974,4.97,chiapas,1,0,SGE
63,blandum_motozintla_4_DSCN7908_a,blandum,15.651,2.188204109,0.135214315,4.97,chiapas,1,0,SGE
64,blandum_J_Steyermark_36853_A_b,blandum,10.463,2.114342629,0.152749491,4.97,chiapas,1,0,SGE
65,"blandum_MD_3_Zontehuitz,_Chiapas_2016",blandum,15.028,2.248885842,0.186532363,4.97,chiapas,1,0,SGE
66,HUH_00266677_C,blandum,12.23,2.202331704,0.261848651,4.97,chiapas,1,0,SGE
67,blandum_MD_323_A,blandum,6.301,2.048509348,0.436014825,4.97,chiapas,1,0,SGE
68,"blandum_MD_2_Zontehuitz,_Chiapas_2015",blandum,22.96,1.877344146,0.58532017,4.97,chiapas,1,0,SGE
69,A_Ceron_C_1023_A_b,caudatum,48.399,1.425920292,0,4.97,east_mexico,1,0,IGE
70,caudatum_J_L_Contreras_5322_D_b,caudatum,21.936,1.299115808,0,4.97,east_mexico,1,0,IGE
71,L_Caamano_Onofre_10744_A_b,caudatum,39.54,1.344117647,0,4.97,east_mexico,1,0,IGE
72,caudatum_MD_28_A,caudatum,38.858,1.153940134,0,4.97,east_mexico,1,0,IGE
73,caudatum_MD_38_A,caudatum,54.413,1.279695569,0,4.97,east_mexico,1,0,IGE
74,caudatum_MD_43_A,caudatum,59.227,1.177705574,0,4.97,east_mexico,1,0,IGE
75,caudatum_J_L_Contreras_5458_D_a,caudatum,25.751,1.307108626,0.037830067,4.97,east_mexico,1,0,IGE
76,L_Caamano_Onofre_9270_A_b,caudatum,23.259,1.066021628,0.04014452,4.97,east_mexico,1,0,IGE
77,caudatum_MD_29_A,caudatum,62.907,1.357942708,0.048697346,4.97,east_mexico,1,0,IGE
78,P03319981_A,caudatum,43.599,1.475220085,0.056715064,4.97,east_mexico,1,0,IGE
79,caudatum_J_L_Contreras_4877_A_a,caudatum,33.463,1.555215896,0.063449764,4.97,east_mexico,1,0,IGE
80,caudatum_A_J_Coombes_1226_A_b,caudatum,61.552,1.595377372,0.075581981,4.97,east_mexico,1,0,IGE
81,caudatum_J_L_Contreras_5878_B_a,caudatum,63.182,1.27763075,0.102522042,4.97,east_mexico,1,0,IGE
82,L_Caamano_Onofre_10749_A_a,caudatum,42.496,1.294154036,0.194653517,4.97,east_mexico,1,0,IGE
83,E00259172_A,caudatum,42.324,1.271582181,0.20289267,4.97,east_mexico,1,0,IGE
84,"caudatum_MD_1_Honey,_Puelbla_2016",caudatum,18.248,1.61906019,0.223144553,4.97,east_mexico,1,0,IGE
85,L_Caamano_Onofre_10746_A_b,caudatum,73.944,1.262389995,0.295119183,4.97,east_mexico,1,0,IGE
86,caudatum_J_L_Contreras_4899_C_a,caudatum,38.383,1.036260376,0.50629707,4.97,east_mexico,1,0,IGE
