SpecimenID,Collector,Country,Locality,GenbankID,Latitude,Longitude,AssemblyName,reads_raw,reads_passed_filter,refseq_mapped_reads,proportion_refseq_mapped_reads,refseq_unmapped_reads,clusters_total,clusters_hidepth,hetero_est,error_est,reads_consens,loci_in_assembly
V. acutifolium 1,MJD_011_tuton_111816,Mexico,Oaxaca-Totontepec,,17.259,-96.04,acutifolium_MJD_011_tuton_111816,4575275,4565672,2460192,0.5388455412,2105480,72227,65756,0.003122,0.001236,64744,60722
V. acutifolium 2,MJD_012_tuton_111816,Mexico,Oaxaca-Totontepec,,17.259,-96.04,acutifolium_MJD_012_tuton_111816,3414396,3401274,2266224,0.666286809,1135050,62872,56626,0.002565,0.001157,55895,52174
V. acutifolium 3,MJD_60,Mexico,Oaxaca,,,,acutifolium_MJD_60,2791871,2689503,1743195,0.6481476317,946308,93186,87354,0.005874,0.000717,85904,79373
V. acutifolium 4,DRY3_MEX_006,Mexico,Oaxaca-?,,,,acutifolium_DRY3_MEX_006,5539875,5145250,2031954,0.3949184199,3113296,86851,77769,0.004591,0.001921,76668,69159
V. acutifolium 5,MEX_005,Mexico,Oaxaca,,,,acutifolium_MEX_005,2079676,1902108,1795326,0.9438612319,106782,84909,75788,0.004725,0.002,74756,67302
V. acutifolium 6,PWS_3050,Mexico,Oaxaca-Mirador,,17.5854,-96.517424,acutifolium_PWS_3050,2000778,1993647,1630498,0.8178468906,363149,83292,75757,0.004479,0.001116,74550,68715
V. acutifolium 7,PWS_3059,Mexico,Oaxaca-Ixtlan,,17.5634,-96.514372,acutifolium_PWS_3059,2105316,2094980,1954637,0.9330098617,140343,88698,81401,0.004775,0.001094,80095,74015
V. alpinum,PWS_3924,Jamaica,Clarendon,,18.1971,-77.39187,alpinum_PWS_3924,3316992,3306129,2877146,0.8702461398,428983,42455,37517,0.001839,0.000962,36973,34309
V. ayavacense 1,PWS_4006,Peru,Junin Department,,-4.65169,-79.73619,ayavacense_PWS_4006,2074249,2072807,1518567,0.7326137938,554240,60942,54034,0.002842,0.000685,53260,50720
V. ayavacense 2,PWS_4003,Peru,Piura Department,,-4.65169,-79.73616,ayavacense_PWS_4003,1986052,1984728,1772793,0.8932171058,211935,61635,54772,0.002743,0.000698,53961,51661
V. ayavacense 3,PWS_4000,Peru,Piura Department,,-4.68169,-79.78859,ayavacense_PWS_4000,2270762,2269165,1725246,0.7602999341,543919,63244,56102,0.002739,0.000768,55237,52522
V. blandum 1,EJE_621,Mexico,?,,,,blandum_EJE_621,1971723,1965114,1880409,0.9568956305,84705,27670,23593,0.001624,0.001009,23271,19777
V. blandum 2,PWS_3088,Mexico,Chiapas-Tzontehuiz,,16.8191,-92.580442,blandum_PWS_3088,2511910,2501188,1655696,0.6619638348,845492,84802,77314,0.003873,0.001121,76085,70045
V. caudatum 1,PWS_3223_M1,Mexico,Puebla-Honey-Transect,,20.2426,-98.20852,caudatum_PWS_3223_M1,2766273,2753184,2538351,0.9219692545,214833,82282,74525,0.004325,0.002476,73387,66995
V. caudatum 2,PWS_3223,Mexico,Puebla-Honey-Transect-abandoned-mine-M1,,20.2426,-98.20852,caudatum_PWS_3223,2628548,2612999,2401046,0.9188851584,211953,77231,67864,0.003066,0.002079,66873,59842
V. caudatum 3,MJD_64,Mexico,Puebla-Honey,,,,caudatum_MJD_64,2390707,2307495,1439288,0.6237447968,868207,86954,80913,0.005596,0.000716,79572,73836
V. caudatum 4,PWS_3216,Mexico,Puebla,,20.2526,-98.204737,caudatum_PWS_3216,2332894,2314081,2169343,0.9374533562,144738,75251,66041,0.003054,0.001915,65074,57132
V. caudatum 5,PWS_3211,Mexico,Puebla-Honey-Transect,,20.2747,-98.17722,caudatum_PWS_3211,2511488,2499334,2116206,0.846707963,383128,83718,70256,0.002735,0.002018,69287,54392
V. caudatum 6,PWS_3221,Mexico,Puebla-Honey,,20.253,-98.20434,caudatum_PWS_3221,1026492,989671,923683,0.9333232963,65988,47396,38910,0.001579,0.001884,38486,29783
V. ciliatum 1,PWS_3225,Mexico,Puebla-Honey,,20.3169,-98.25694,ciliatum_PWS_3225,2289734,2281045,2008620,0.8805700896,272425,83309,69110,0.00256,0.001997,68231,52593
V. ciliatum 2,SH2,Mexico,Puebla-Honey-Transect,,20.25,-98.21,ciliatum_SH2,3415335,3393546,3225783,0.9505641002,167763,88308,77911,0.003547,0.002028,76605,67346
V. ciliatum 3,PWS_3220,Mexico,Puebla-Honey,,20.2426,-98.20852,ciliatum_PWS_3220,2468987,2444802,2304727,0.9427049716,140075,91382,76210,0.00275,0.001963,75185,57945
V. ciliatum 4,C1,Mexico,Puebla-Honey-Transect,,20.25,-98.21,ciliatum_C1,1811272,1783002,1695384,0.9508592811,87618,63834,55915,0.002312,0.001931,55152,49469
V. costaricanum,MJD_85,Costa_Rica,,,,,costaricanum_MJD_85,1839695,1748388,1615617,0.9240609064,132771,93748,87053,0.005742,0.000763,85685,77326
V. dentatum 1,ELS_004,USA,,,,,dentatum_ELS_004,4525137,4191759,2740404,0.6537599132,1451355,107792,95789,0.010009,0.002188,92962,77201
V. dentatum 2,ELS_015,USA,,,,,dentatum_ELS_015,2387908,2245345,1730226,0.7705835852,515119,93110,82709,0.008254,0.001993,80695,68286
V. dentatum 3,ELS_052,USA,,,,,dentatum_ELS_052,4334501,4045960,2098427,0.5186474903,1947533,89223,79105,0.006514,0.002144,77454,66687
V. dentatum 4,ELS_027,USA,,,,,dentatum_ELS_027,6074592,5649116,3512997,0.6218666779,2136119,107056,94303,0.008174,0.002127,91937,75305
V. dentatum 5,ELS_082,USA,,,,,dentatum_ELS_082,4684941,4280035,3215595,0.7513010992,1064440,102967,90147,0.007737,0.002176,88134,73107
V. dentatum 6,ELS_072,USA,,,,,dentatum_ELS_072,3104581,2843842,1670611,0.5874485995,1173231,82483,73208,0.00608,0.001969,71696,62774
V. discolor,EJE_629,Mexico,?,,,,__EJE_629,2919111,2910102,1697480,0.5833060147,1212622,31079,27269,0.001569,0.001026,26957,24633
V. disjunctum 1,MJD_66,Mexico,,,15.15,-90.18,disjunctum_MJD_66,5397871,5190939,3409663,0.6568489824,1781276,109779,101640,0.006341,0.00096,99744,85779
V. disjunctum 2,EJE_615,Mexico,?,,,,disjunctum_EJE_615,2571658,2562766,2066708,0.8064364831,496058,35308,31505,0.001655,0.001026,31107,29545
V. fuscum 1,MJD_010_tuton_111816,Mexico,Oaxaca-Tutontepec,,17.259,-96.04,hybrid_MJD_010_tuton_111816,2146740,2127575,1653802,0.7773178384,473773,58970,53429,0.00269,0.001214,52774,49274
V. fuscum 2,EJE_604,Mexico,Oaxaca-Totontepec,,17.259,-96.04,fuscum_shiny_EJE_604,3186540,3176068,1818945,0.5727034182,1357123,32150,28217,0.001519,0.00103,27804,26240
V. fuscum 3,MJD_009_tuton_111816,Mexico,Oaxaca-Tutontepec,,17.259,-96.04,hybrid_MJD_009_tuton_111816,2159235,2129868,1792202,0.8414615366,337666,65868,59812,0.002897,0.001189,59091,54433
V. fuscum 4,EJE_603,Mexico,Oaxaca-Totontepec,,17.259,-96.04,fuscum_shiny_EJE_603,1227059,1222685,910399,0.7445899802,312286,17880,15640,0.001151,0.001005,15464,14297
V. hallii 1,PWS_1830,Ecuador,Imbabura,,0.16818,-78.29393,hallii_PWS_1830,1822571,1603616,1253527,0.7816877607,350089,90945,82579,0.004877,0.000705,81360,72688
V. hallii 2,PWS_1634,Ecuador,Imbabura,,0.3318,-78.40455,hallii_PWS_1634,1790835,1701513,1353174,0.7952769094,348339,91867,84463,0.004997,0.000644,83140,75330
V. hartwegii 1,PWS_3190,Mexico,Chiapas-Amatenango,,16.5298,-92.45712,hartwegii_PWS_3190,4866200,4848141,4479814,0.9240271684,368327,92496,83434,0.004322,0.002148,81775,74474
V. hartwegii 2,MJD_81,Mexico,,,,,hartwegii_MJD_81,2526368,2387014,1930523,0.8087606524,456491,91528,86039,0.005899,0.000758,84641,78324
V. hartwegii 3,EJE_612,?,?,,,,hartwegii_EJE_612,4548844,4534406,4086638,0.9012510128,447768,50395,44971,0.002319,0.000997,44225,41821
V. hartwegii 4,EJE_642,Mexico,?,,,,hartwegii_EJE_642,4813593,4797205,4547801,0.9480105603,249404,53081,47313,0.002415,0.001041,46497,43900
V. hartwegii 5,PWS_3108,Mexico,Chiapas-Pueblo_nuevo,,17.1532,-92.889433,hartwegii_PWS_3108,3883325,3874877,3215772,0.8299029879,659105,97975,90810,0.005634,0.001169,88990,81783
V. hartwegii 6,PWS_3186,Mexico,Chiapas-Ocosingo,,16.807,-92.32196,hartwegii_PWS_3186,4555892,4530491,3842558,0.8481548689,687933,89757,82068,0.004174,0.002018,80623,74395
V. hartwegii 7,PWS_3194,Mexico,Chiapas,,16.8736,-92.461975,hartwegii_PWS_3194,2718620,2707144,2576809,0.9518551654,130335,74515,66598,0.003038,0.001961,65593,60016
V. hartwegii 8,PWS_3195,Mexico,Chiapas,,16.8736,-92.461975,hartwegii_PWS_3195,1709201,1699755,1543849,0.9082773694,155906,55751,48674,0.001886,0.001955,48089,43095
V. hartwegii 9,PWS_3193,Mexico,Chiapas-Tenehapa,,16.8736,-92.461975,hartwegii_PWS_3193,2771536,2737372,2536245,0.9265255143,201127,65329,59106,0.002592,0.001904,58276,55482
V. hirsutum 1,PWS_3206,Mexico,Veracruz-Saucal,,19.5204,-97.05492,hybrid_PWS_3206,2869844,2842681,2637448,0.9278030141,205233,79962,71484,0.003416,0.002055,70281,64088
V. hirsutum 2,PWS_3208,Mexico,Veracruz-Saucal,,19.5204,-97.05492,hybrid_PWS_3208,3232284,3221030,2884281,0.8954530073,336749,95318,84267,0.004174,0.002112,82895,71222
V. hirsutum 3,MJD_006_tuton_111716,Mexico,Oaxaca-Totontepec,,17.259,-96.04,hybrid_MJD_006_tuton_111716,3612049,3597998,2154860,0.5989052801,1443138,60779,54669,0.002853,0.001127,53902,50514
V. hirsutum 4,Huatla_6,Mexico,?,,18.13,-96.87,hybrid_huatla_6,5844542,5811159,5601995,0.9640064916,209164,92077,82511,0.004388,0.00115,80924,73323
V. jamesonii 1,PWS_1636,Ecuador,Carchi,,0.72817,-77.72449,jamesonii_PWS_1636,3541898,3224068,2431773,0.7542561137,792295,93540,82568,0.004501,0.00202,81203,72728
V. jamesonii 2,PWS_1656,Ecuador,Carchi,,0.68582,-77.96373,jamesonii_PWS_1656,1803471,1714483,1475296,0.8604903052,239187,89875,82968,0.004652,0.000677,81735,74363
V. jucundum 1,EJE_617,?,?,,,,__EJE_617,2300041,2292459,1056416,0.4608222001,1236043,21050,18419,0.001085,0.00101,18234,17038
