,scaffold,start,end,sites,snps,samples,missing,tree
0,126,0,2000000,11331,312,41,0.29,"(sulcatum:0.00388162,disjunctum:0.00705847,((blandum:0.00409855,(fuscum:0.00787162,(acutifolium:0.00300898,microphyllum:0.00479941)45:0.000512585)17:0.000788537)17:0.000641982,(lautum:0.00572245,(((discolor:0.00211987,membranaceum:0.00302534)25:0.00126389,(jucundum:0.00498076,(new_sp_2:0.00685599,new_sp_1:0.00379482)8:0.00151975)4:0.000180203)3:0.000543905,((dentatum:0.0171802,(hirsutum:0.00668566,(loeseneri:0.00494228,((microcarpum:0.00538267,tiliaefolium:0.00611344)63:0.00157132,(stenocalyx:0.00394559,(ciliatum:0.00559742,caudatum:0.00506433)43:0.000980001)42:0.000821989)79:0.00114466)92:0.00167773)97:0.00305134)87:0.00146375,((stellato-tomentosum:0.00142526,(alpinum:0.00262143,villosum:0.00384397)72:0.00219186)89:0.00393661,((obtusatum:0.00612798,hartwegii:0.00623757)49:0.00124166,((dumatorum:0.00448524,jamesonii:0.00307148)53:0.000765259,(pichinchense:0.00330698,(reticulatum:0.00339831,((seemenii:0.003104,triphyllum_new:0.00328658)7:0.000807338,((triphyllum:0.00384845,lasiophyllum:0.00261547)43:0.00108916,((hallii:0.0030989,(tinoides_1:0.00484295,(undulatum:0.00248394,subsessile:0.00335291)83:0.00110428)17:0.00135009)6:0.000566845,(toronis:0.00443733,(tinoides_2:0.00371262,(ayavacense:0.00253572,costaricanum:0.00422152)38:0.000777776)11:0.00101158)8:0.000217596)1:0.000741654)0:0.000675095)1:0.000574566)3:0.000516093)15:0.00126666)59:0.00219624)39:0.00131205)45:0.00183745)25:0.00134123)11:0.00079782)5:0.000617909)66:0.00146959);"
1,126,2000000,4000000,11234,232,41,0.3,"(membranaceum:0.00324631,new_sp_2:0.00314282,((acutifolium:0.00315556,microphyllum:0.00347795)35:0.000584443,(new_sp_1:0.00389438,(jucundum:0.00548072,(lautum:0.00306837,(fuscum:0.00377477,(disjunctum:0.00514004,((dentatum:0.0161854,(sulcatum:0.00688435,((ciliatum:0.00351178,hirsutum:0.00405339)78:0.00190149,(caudatum:0.00365247,(tiliaefolium:0.00632696,(microcarpum:0.00351346,(stenocalyx:0.00205742,loeseneri:0.00504713)75:0.00214707)22:0.000579832)29:0.00126103)28:0.000983288)50:0.00125369)65:0.00121943)64:0.00146724,(stellato-tomentosum:0.00842651,((blandum:0.00247818,((villosum:0.00441896,alpinum:0.00348237)63:0.0027113,(discolor:0.00221952,hartwegii:0.00302969)58:0.00104941)21:0.000567561)13:0.0010458,(obtusatum:0.00716344,(costaricanum:0.00394632,((subsessile:0.00305974,undulatum:0.00353765)46:0.00131575,((dumatorum:0.00203017,seemenii:0.00341879)23:0.000484481,(pichinchense:0.00204799,((toronis:0.0031734,jamesonii:0.00181553)30:0.00101581,(ayavacense:0.00229847,((tinoides_1:0.00474835,lasiophyllum:0.00242864)38:0.000288102,(triphyllum_new:0.00344013,(triphyllum:0.00436621,(hallii:0.00299488,(tinoides_2:0.00424482,reticulatum:0.00197243)46:0.000933181)33:0.000928132)48:0.00114373)33:0.00116325)29:0.00112558)14:0.000808621)15:0.00089895)17:0.000914167)41:0.0011799)90:0.00179278)67:0.00124111)42:0.00098165)39:0.000597181)33:0.00082812)36:0.000386879)32:0.000321471)16:0.000502835)30:0.000847572)54:0.00104)35:0.00100118)70:0.00103524);"
2,126,4000000,6000000,8688,162,41,0.32,"(new_sp_2:0.00228175,(acutifolium:0.00262012,membranaceum:0.00284491)19:0.000410321,(((blandum:0.00144272,(lautum:0.0042866,(stellato-tomentosum:0.00470485,(alpinum:0.00363125,new_sp_1:0.00299777)13:0.0006682)26:0.000712388)2:0.000432913)5:0.000770099,((dentatum:0.0123644,sulcatum:0.00527493)10:0.000178432,(stenocalyx:0.00264911,(tiliaefolium:0.00367214,(loeseneri:0.00387242,(ciliatum:0.00607963,(microcarpum:0.00312757,(hirsutum:0.00379359,caudatum:0.00376621)67:0.00109181)86:0.00187098)34:0.00099252)17:0.0010707)32:0.000819948)83:0.00155053)72:0.00145188)1:0.000176726,((disjunctum:0.00341005,fuscum:0.00418278)16:0.000648902,(microphyllum:0.00337294,(jucundum:0.00508082,(obtusatum:0.0044787,((discolor:0.00129458,villosum:0.00186827)50:0.000943302,(hartwegii:0.00444189,(costaricanum:0.00541816,(toronis:0.00237457,((pichinchense:0.00156655,(undulatum:0.00290853,lasiophyllum:0.00284058)16:0.000609879)19:0.000893268,(tinoides_2:0.00321604,((ayavacense:0.000969731,seemenii:0.00312986)21:0.000172375,(dumatorum:0.0020847,((triphyllum_new:0.00246949,(subsessile:0.00296181,tinoides_1:0.00305189)30:0.00114067)11:0.000357397,(reticulatum:0.00249728,(triphyllum:0.00273137,(jamesonii:0.00245085,hallii:0.00237422)14:0.000439148)0:0.000158651)0:0.000262496)0:0.000148628)2:0.000390563)7:0.000401412)3:0.000380721)13:0.00038307)84:0.00167271)39:0.000545443)32:0.000732928)33:0.000418098)36:0.000992593)10:0.000136176)19:0.000596338)2:0.000180407)22:0.000688447);"
3,126,6000000,8000000,10057,229,41,0.27,"(new_sp_2:0.00372312,(acutifolium:0.00260537,(microphyllum:0.00342839,(membranaceum:0.00188402,new_sp_1:0.00241973)71:0.000869636)35:0.00122106)11:0.000576568,(blandum:0.0021631,((fuscum:0.00537117,(((lautum:0.00287049,alpinum:0.00155283)47:0.000705311,(villosum:0.00370013,((disjunctum:0.00268778,stellato-tomentosum:0.00358496)13:0.000377905,(discolor:0.00254669,jucundum:0.00142774)45:0.00136365)19:0.000494837)30:0.000444876)29:0.000909051,(dentatum:0.0115351,(stenocalyx:0.0024897,((sulcatum:0.0065799,loeseneri:0.00317472)74:0.00190107,(tiliaefolium:0.0047725,((microcarpum:0.00510735,caudatum:0.00298136)91:0.00190208,(ciliatum:0.00280815,hirsutum:0.00406429)83:0.000567228)98:0.00252278)58:0.0012284)67:0.00195288)79:0.00189266)93:0.00215901)17:0.000254984)3:0.000254488,((obtusatum:0.00529287,hartwegii:0.00436524)74:0.00154103,(costaricanum:0.00364348,((tinoides_1:0.002704,(pichinchense:0.00189657,tinoides_2:0.0024593)26:0.000730423)0:0.000288517,(seemenii:0.00257341,((jamesonii:0.00254597,(reticulatum:0.00240139,hallii:0.00232866)26:0.000269885)30:0.000546973,((subsessile:0.00237155,toronis:0.0027968)10:0.000515624,(dumatorum:0.00239042,((lasiophyllum:0.00174247,undulatum:0.00192315)43:0.000929415,(triphyllum:0.00231994,(triphyllum_new:0.0020742,ayavacense:0.00100561)74:0.00115051)19:0.000409527)0:1e-06)1:0.000239684)5:0.000612926)2:0.000352319)2:0.000259276)59:0.00141232)55:0.0013389)35:0.000788107)34:0.00064764)34:0.000786427);"
4,647,0,2000000,7767,189,41,0.34,"(stellato-tomentosum:0.0040655,(alpinum:1e-06,villosum:0.00203169)99:0.00347598,(((discolor:0.00465156,hartwegii:0.00661203)40:0.0026932,(acutifolium:0.00406973,new_sp_1:0.00754937)76:0.00149173)19:0.000406906,(blandum:0.00652062,(((fuscum:0.00528642,obtusatum:0.00454606)41:0.00109853,(disjunctum:0.00290452,((dentatum:0.0116706,sulcatum:0.00655761)56:0.000937391,((caudatum:0.00451995,microcarpum:0.00461467)65:0.00122559,(stenocalyx:0.00639594,((hirsutum:0.00377478,loeseneri:0.00575316)33:0.00138674,(tiliaefolium:0.00648279,ciliatum:0.00470236)29:0.00105654)16:0.000583582)12:0.000496201)61:0.00235504)5:0.00107135)2:0.00069599)3:0.00018066,((costaricanum:0.00428625,((jucundum:0.00452687,lautum:0.00571419)64:0.000922333,(new_sp_2:0.00420963,(membranaceum:0.00206364,microphyllum:0.00503051)5:0.00111415)16:0.00222336)0:1e-06)0:0.000920286,((undulatum:0.00295981,subsessile:0.00327323)59:0.00109222,(pichinchense:0.0020668,(ayavacense:0.00198823,(hallii:0.00123081,(reticulatum:0.00237651,((lasiophyllum:0.0053663,triphyllum:0.00310109)36:0.00141063,(triphyllum_new:0.0031577,((dumatorum:0.00336098,seemenii:0.00112372)50:0.00106121,(tinoides_2:0.00307183,(tinoides_1:0.00316347,(toronis:0.00334538,jamesonii:0.00137778)76:0.0010939)25:0.000618652)12:0.000205983)32:0.000580222)53:0.001177)9:0.000423182)9:0.000380843)28:0.000650108)18:0.000318123)24:0.000738167)67:0.00227159)0:0.000560216)2:0.000861107)16:0.000561204)36:0.00156271);"
5,647,2000000,4000000,13047,307,41,0.34,"(microphyllum:0.00464416,fuscum:0.00293155,(acutifolium:0.00540836,((sulcatum:0.0081792,(loeseneri:0.00585582,((ciliatum:0.00519603,hirsutum:0.00408948)77:0.00132784,(tiliaefolium:0.00397088,(microcarpum:0.00543934,(dentatum:0.0126844,(stenocalyx:0.00257264,caudatum:0.0037317)56:0.000919857)6:0.000963178)8:0.00141998)17:0.00135955)58:0.00171422)60:0.0011083)36:0.00188423,((lautum:0.00518686,((stellato-tomentosum:0.0056902,(obtusatum:0.00635025,disjunctum:0.00730324)56:0.00130277)27:0.00115297,(alpinum:0.0035056,(jucundum:0.00529133,(blandum:0.00525039,discolor:0.00138446)39:0.000554219)27:1e-06)28:0.000946774)5:0.00117264)6:0.000445108,((new_sp_2:0.00472591,(new_sp_1:0.00323536,membranaceum:0.00503706)67:0.00107482)69:0.00171225,(hartwegii:0.00859458,(costaricanum:0.00445783,(triphyllum:0.00346817,((pichinchense:0.00241434,toronis:0.00176823)39:0.000583649,(tinoides_2:0.0036242,((reticulatum:0.00290446,undulatum:0.00314254)83:0.00126881,(dumatorum:0.00316822,((tinoides_1:0.00372511,subsessile:0.00329375)78:0.000941697,(seemenii:0.00413735,(lasiophyllum:0.00228589,(triphyllum_new:0.0031344,(ayavacense:0.004563,(hallii:0.00190175,(villosum:0.00729353,jamesonii:0.00176962)20:0.00149192)16:0.000337284)12:0.000702876)10:0.000407021)8:0.000673061)10:0.000545576)17:0.00111602)8:0.000578909)6:0.000530627)3:0.000352889)6:0.000710214)19:0.00167287)18:0.00141176)13:0.00113549)3:0.00144445)7:0.00139427)10:0.000542071)61:0.00158704);"
6,647,4000000,6000000,16513,346,41,0.29,"(discolor:0.00297762,(fuscum:0.00361964,(membranaceum:0.0033389,new_sp_2:0.00582232)20:0.000749957)14:0.000659531,(((jucundum:0.00422181,lautum:0.00440504)87:0.00140866,(stellato-tomentosum:0.00455227,((alpinum:0.00122392,villosum:0.00147526)73:0.00283507,(hartwegii:0.00400141,obtusatum:0.00618769)20:0.000567567)4:0.00055778)6:0.00084231)1:0.000303518,((acutifolium:0.00438998,((blandum:0.00353033,disjunctum:0.00178106)50:0.000978125,((new_sp_1:0.00408714,microphyllum:0.00339493)67:0.00113006,(stenocalyx:0.00640727,sulcatum:0.00462407)15:0.0010017)2:0.000615663)0:0.00028552)0:0.000302254,((dentatum:0.0147678,((ciliatum:0.00432285,tiliaefolium:0.00609609)55:0.00129787,(caudatum:0.00436172,(microcarpum:0.00402814,(loeseneri:0.00401617,hirsutum:0.00392133)31:0.00124599)25:0.0011058)15:0.000882033)64:0.00144605)34:0.000934975,(costaricanum:0.0033458,(jamesonii:0.00388751,((triphyllum:0.00335774,lasiophyllum:0.00282022)30:0.000611832,(((undulatum:0.00248721,subsessile:0.00365742)51:0.000685788,(tinoides_2:0.00412576,tinoides_1:0.00376729)28:0.000804632)21:0.000492182,(toronis:0.00228413,(ayavacense:0.00394547,((hallii:0.0019041,(triphyllum_new:0.00309561,reticulatum:0.00272138)50:0.000856534)28:0.000437022,(pichinchense:0.00221546,(dumatorum:0.00264399,seemenii:0.00295633)87:0.00142906)60:0.000809539)24:0.000848776)8:0.000323605)8:0.000310427)13:0.000638597)18:0.000539917)77:0.00130014)96:0.00232722)15:0.000955041)1:0.000416163)7:0.000262839);"
7,647,6000000,8000000,5881,142,41,0.38,"(acutifolium:0.00486199,new_sp_2:0.00600322,(blandum:0.00239918,((jucundum:0.00332551,lautum:0.00255335)38:0.00092248,((discolor:1e-06,fuscum:0.00125275)26:0.00256439,(dentatum:0.0148792,(disjunctum:0.00300525,(stellato-tomentosum:0.00291452,(sulcatum:0.00375112,(obtusatum:0.00338581,((pichinchense:0.00545306,((hartwegii:0.00595962,microphyllum:0.005229)38:0.00047703,(dumatorum:0.00194758,(costaricanum:0.00266499,(tinoides_1:0.00439348,(undulatum:0.0056811,subsessile:0.00552868)57:0.00189227)28:0.00101745)50:0.001946)18:0.00165478)7:0.00093393)7:0.00144549,(tinoides_2:0.00376604,(((membranaceum:0.00480336,new_sp_1:0.00290301)90:0.00305807,(microcarpum:0.00738721,((caudatum:0.00440763,(hirsutum:0.00381123,loeseneri:0.00962065)29:0.00173522)14:0.00105644,(ciliatum:0.0045606,(stenocalyx:0.00195387,tiliaefolium:0.00614764)43:1e-06)56:0.00158468)40:0.00144007)88:0.00197035)82:0.00173037,(lasiophyllum:0.00492642,((hallii:0.00276728,(alpinum:0.00194404,villosum:0.00309217)53:0.00141021)27:0.00139856,(jamesonii:0.00253605,(triphyllum:0.00584372,(seemenii:0.00388679,((toronis:0.0075385,triphyllum_new:0.00232718)20:0.00274174,(ayavacense:0.00397332,reticulatum:0.00364451)11:0.00103082)11:0.000442233)29:0.00207872)2:0.00115632)2:0.000704606)9:0.00102195)41:0.00182642)32:0.00191473)18:0.00141502)3:1e-06)9:0.000631252)2:0.000370159)1:0.000245666)6:0.000507517)22:0.000742451)5:1e-06)36:0.00104389)61:0.00113449);"
8,647,8000000,10000000,7712,235,41,0.35,"(acutifolium:0.00917298,new_sp_1:0.00660358,((blandum:0.00180343,discolor:1e-06)14:0.00413873,(fuscum:0.00862544,(new_sp_2:0.00975922,(dentatum:0.024403,((disjunctum:0.00774268,((obtusatum:0.00635357,(stellato-tomentosum:0.00280554,(alpinum:0.00199718,villosum:0.00313057)87:0.00307923)86:0.00327531)44:0.000504784,(ciliatum:0.00928418,((microcarpum:0.00627963,sulcatum:0.0113829)35:0.00290235,((loeseneri:0.00787795,hirsutum:0.00644398)8:0.000774408,(caudatum:0.00867681,(stenocalyx:0.00428442,tiliaefolium:0.00588093)41:0.00236711)29:0.00134287)18:0.00156182)13:0.00130552)45:0.0028309)4:0.000980857)1:0.000526008,((lautum:0.00749858,jucundum:0.00707265)19:0.00251486,((microphyllum:0.00545392,membranaceum:0.00699654)28:0.00287995,(hartwegii:0.00913857,(costaricanum:0.00765156,((dumatorum:0.0041736,(jamesonii:0.00369663,tinoides_2:0.0074384)15:0.00101214)12:0.00125905,(((reticulatum:0.00515661,seemenii:0.00643907)37:0.00197634,(triphyllum_new:0.00431503,(undulatum:0.0060915,(toronis:0.004792,hallii:0.00374205)85:0.00311671)48:0.00186733)30:0.00235122)6:0.00098318,(subsessile:0.00613323,((pichinchense:0.00310638,ayavacense:0.00527076)26:0.00103372,(lasiophyllum:0.00334374,(tinoides_1:0.00533966,triphyllum:0.00378282)44:0.000943731)24:0.00159147)2:0.00102826)1:0.000949759)6:0.00111881)47:0.00163563)89:0.00189132)62:0.00191847)11:0.00113657)5:0.00119354)2:0.00115276)10:0.00179336)6:0.0012011)11:0.00192516)57:0.00252034);"
9,730,0,2000000,7121,154,41,0.37,"(microphyllum:0.00609017,(acutifolium:0.00341149,sulcatum:0.0139905)38:0.00168885,(((hirsutum:0.00470006,ciliatum:0.00593996)66:0.00325786,(villosum:0.00478279,((loeseneri:0.00555149,(stenocalyx:0.00364242,dentatum:0.0214457)40:0.00356452)13:0.000431898,(caudatum:0.00757044,(fuscum:0.00753604,(microcarpum:0.00545273,tiliaefolium:0.00540536)59:0.00167634)25:0.0018712)4:0.000504899)5:0.000731915)2:0.000344171)2:0.0015352,(new_sp_2:0.006223,(new_sp_1:0.0032701,(blandum:0.00347805,((lautum:0.00393785,(obtusatum:0.00371123,disjunctum:0.00409029)22:0.00103451)5:0.000249019,(costaricanum:0.00513117,((membranaceum:0.0047305,((discolor:0.00570441,hartwegii:0.00342148)49:0.00104784,(jucundum:0.00629695,(alpinum:0.00401245,stellato-tomentosum:0.00647982)16:0.000906575)9:0.000650311)3:0.000620915)4:0.000792713,(((jamesonii:0.00253792,dumatorum:0.00334842)80:0.00230209,(seemenii:0.00205703,(subsessile:0.00327693,triphyllum:0.00224225)25:0.00102714)11:0.000404567)6:0.000434604,(ayavacense:0.00410535,(undulatum:0.00172703,(tinoides_2:0.00361441,((tinoides_1:0.00287424,(reticulatum:0.00396042,triphyllum_new:0.00234145)37:0.00129216)27:0.00072801,(hallii:0.00298642,(lasiophyllum:0.00383041,(pichinchense:0.00276053,toronis:0.00229928)27:0.000479536)3:0.00021474)8:0.00103796)4:0.000378331)5:0.00117938)0:0.00106126)1:0.000344666)28:0.00216703)0:0.000423178)2:0.000467301)6:0.000826011)8:0.00098647)3:0.0012456)1:0.000687329)20:0.000880436);"
